,Latitude,Longitude,City,Temp,Humidity,Wind Speed,Cloudiness,Date
0,71.29,-156.79,barrow,24.8,68.0,13.87,90.0,1604195548.0
1,44.36,77.98,saryozek,36.52,66.0,2.35,0.0,1604196224.0
2,22.89,-109.91,cabo san lucas,80.6,74.0,5.82,20.0,1604195588.0
3,42.6,-73.97,albany,35.01,84.0,5.01,0.0,1604195487.0
4,69.3,139.9,deputatskiy,-9.62,90.0,5.37,85.0,1604195826.0
5,-14.47,132.27,katherine,96.8,25.0,5.82,76.0,1604196224.0
6,50.93,21.39,ostrowiec swietokrzyski,41.0,93.0,3.42,0.0,1604196225.0
7,78.22,15.64,longyearbyen,21.2,73.0,11.41,40.0,1604195762.0
8,51.77,14.33,cottbus,51.01,97.0,1.01,96.0,1604196225.0
9,-38.0,-57.56,mar del plata,60.01,76.0,3.36,0.0,1604195615.0
10,-2.68,111.62,pangkalanbuun,89.56,61.0,1.03,31.0,1604195845.0
11,50.68,156.12,severo-kurilsk,43.68,74.0,16.84,57.0,1604195652.0
12,61.67,96.37,baykit,2.03,90.0,3.36,73.0,1604196227.0
13,61.22,-149.9,anchorage,23.0,53.0,4.7,1.0,1604195880.0
14,21.32,103.9,son la,70.88,82.0,1.16,76.0,1604196093.0
15,-15.1,-44.09,itacarambi,70.86,90.0,2.95,100.0,1604196229.0
16,5.41,100.34,georgetown,80.6,83.0,3.36,20.0,1604195739.0
17,-9.29,-76.01,tingo maria,68.56,84.0,1.59,100.0,1604196229.0
18,60.92,-46.05,narsaq,26.6,79.0,2.44,73.0,1604195757.0
19,66.94,-53.67,sisimiut,20.53,96.0,8.48,100.0,1604195802.0
20,4.88,-1.76,takoradi,77.9,86.0,4.03,20.0,1604195755.0
21,17.02,54.09,salalah,71.6,37.0,3.36,0.0,1604195789.0
22,-38.55,-58.74,necochea,50.0,80.0,5.99,0.0,1604196229.0
23,11.28,-15.83,bubaque,83.44,72.0,8.59,98.0,1604195830.0
24,-46.6,168.33,bluff,57.0,75.0,17.0,99.0,1604195743.0
25,-23.12,-134.97,rikitea,76.14,67.0,8.08,0.0,1604195548.0
26,-42.88,147.33,hobart,64.99,71.0,8.05,75.0,1604195649.0
27,,,tumannyy,,,,,
28,-16.52,-151.75,vaitape,80.38,74.0,19.28,0.0,1604196230.0
29,71.97,102.5,khatanga,-4.18,88.0,9.84,78.0,1604195553.0
30,36.21,-86.29,lebanon,59.0,62.0,8.05,20.0,1604196230.0
32,-28.55,16.43,oranjemund,57.49,73.0,7.25,0.0,1604195836.0
33,56.34,114.88,taksimo,18.66,84.0,3.94,100.0,1604195810.0
34,,,tarudant,,,,,
35,22.08,-159.32,kapaa,81.0,74.0,6.93,75.0,1604195759.0
36,45.02,-93.22,saint anthony,43.0,48.0,9.17,75.0,1604195563.0
37,-34.42,19.23,hermanus,57.0,81.0,4.0,0.0,1604195647.0
39,3.07,172.79,butaritari,81.75,76.0,14.38,100.0,1604195766.0
40,54.12,54.12,belebey,39.33,94.0,2.51,100.0,1604196232.0
41,-14.41,-56.45,diamantino,74.86,72.0,4.18,45.0,1604196232.0
42,61.99,-49.67,paamiut,24.46,93.0,7.0,75.0,1604196232.0
43,-54.8,-68.3,ushuaia,48.2,87.0,5.82,75.0,1604195644.0
46,,,illoqqortoormiut,,,,,
47,20.25,-76.54,guisa,80.6,88.0,6.93,75.0,1604196233.0
48,-33.65,115.33,busselton,57.0,92.0,3.38,100.0,1604195737.0
49,71.92,114.08,saskylakh,-6.43,86.0,8.25,14.0,1604195654.0
50,-53.15,-70.92,punta arenas,46.4,81.0,3.36,0.0,1604195736.0
51,70.47,-68.59,clyde river,10.4,85.0,18.34,1.0,1604195554.0
52,39.18,-84.53,hamilton,51.01,66.0,8.05,75.0,1604195636.0
54,28.02,-97.52,san patricio,66.2,68.0,6.93,20.0,1604195809.0
56,-33.59,26.89,port alfred,61.52,81.0,10.92,66.0,1604195750.0
57,50.1,-91.92,sioux lookout,26.6,86.0,13.87,90.0,1604195561.0
58,35.73,140.83,hasaki,63.0,59.0,6.93,40.0,1604195725.0
60,42.3,69.6,shymkent,41.0,35.0,6.71,0.0,1604196235.0
61,0.53,72.93,thinadhoo,83.35,71.0,6.4,98.0,1604196235.0
62,,,aflu,,,,,
64,-33.93,18.42,cape town,59.0,54.0,11.41,0.0,1604195472.0
68,70.86,29.09,berlevag,37.83,79.0,16.93,0.0,1604195584.0
69,-2.89,-40.12,acarau,78.78,85.0,12.95,38.0,1604196235.0
70,,,taolanaro,,,,,
72,-3.01,114.39,kualakapuas,84.33,73.0,2.77,100.0,1604196236.0
73,22.29,114.16,victoria,78.01,69.0,11.27,3.0,1604195734.0
75,-33.41,-56.5,durazno,51.28,94.0,8.66,1.0,1604196124.0
76,-0.74,-90.35,puerto ayora,70.0,90.0,5.99,65.0,1604195746.0
79,42.03,-8.16,vila,59.0,94.0,7.0,100.0,1604195696.0
81,57.05,-135.33,sitka,51.8,87.0,17.22,90.0,1604195737.0
85,-26.02,22.4,tsabong,71.62,57.0,11.74,23.0,1604196236.0
86,,,toliary,,,,,
87,20.2,1.01,tessalit,73.54,21.0,10.29,1.0,1604195773.0
88,15.85,-97.07,puerto escondido,82.4,65.0,2.24,40.0,1604196238.0
90,-2.67,141.3,vanimo,84.36,75.0,6.64,100.0,1604195843.0
91,57.79,-152.41,kodiak,37.4,37.0,10.29,1.0,1604195749.0
92,,,bokspits,,,,,
94,-7.61,15.06,uige,66.45,94.0,3.22,100.0,1604196238.0
97,36.72,15.09,pachino,51.8,93.0,3.36,0.0,1604196238.0
98,-10.17,123.58,kupang,89.73,41.0,3.11,12.0,1604196239.0
99,-2.53,112.95,sampit,88.25,62.0,2.35,31.0,1604196239.0
100,-9.8,-139.03,atuona,78.37,75.0,17.2,11.0,1604195740.0
103,,,manzil tamim,,,,,
105,20.93,-17.03,nouadhibou,68.0,77.0,10.29,0.0,1604195752.0
106,24.26,-107.18,el rosario,84.2,45.0,3.36,5.0,1604196241.0
107,-22.97,-42.03,arraial do cabo,70.95,81.0,16.02,42.0,1604195762.0
108,-25.24,130.99,yulara,86.0,13.0,11.41,0.0,1604195816.0
110,10.9,-85.01,upala,75.2,100.0,6.93,75.0,1604196019.0
111,63.05,179.32,beringovskiy,21.36,95.0,12.44,100.0,1604195746.0
113,-21.36,55.77,saint-philippe,64.4,68.0,9.17,90.0,1604195779.0
114,-21.2,-175.2,vaini,80.6,74.0,13.87,75.0,1604195739.0
116,73.51,80.55,dikson,18.57,98.0,5.1,100.0,1604195746.0
119,34.64,-120.46,lompoc,64.4,82.0,8.05,1.0,1604195751.0
120,70.63,147.92,chokurdakh,-8.0,91.0,7.63,80.0,1604195681.0
121,-31.93,115.8,wembley,61.0,93.0,5.82,90.0,1604196243.0
122,46.52,-84.33,sault sainte marie,44.6,86.0,13.87,90.0,1604196115.0
124,-34.53,20.04,bredasdorp,48.2,93.0,4.7,9.0,1604195647.0
125,6.8,-1.08,agogo,70.32,100.0,3.87,90.0,1604196244.0
126,-10.62,150.67,samarai,83.01,76.0,10.47,90.0,1604195758.0
127,-26.65,15.16,luderitz,61.56,55.0,17.92,0.0,1604196245.0
128,-33.02,27.91,east london,65.01,74.0,12.19,97.0,1604195754.0
129,37.4,136.9,wajima,60.8,48.0,10.29,0.0,1604196245.0
130,5.89,95.32,sabang,82.4,76.0,8.7,97.0,1604196245.0
131,-33.01,17.94,saldanha,55.4,58.0,6.93,0.0,1604195758.0
132,-0.19,-74.78,puerto leguizamo,72.97,96.0,2.8,100.0,1604196246.0
133,55.9,-3.52,livingston,46.99,75.0,13.87,0.0,1604196246.0
135,,,tuggurt,,,,,
137,68.05,166.44,bilibino,5.36,85.0,2.77,77.0,1604195802.0
139,-46.19,168.86,mataura,57.0,75.0,17.0,97.0,1604195551.0
141,25.35,-105.73,santa catarina de tepehuanes,60.89,42.0,4.05,0.0,1604196246.0
142,9.49,50.81,bandarbeyla,76.32,85.0,13.24,68.0,1604195669.0
143,-16.4,-71.53,arequipa,54.25,56.0,2.13,100.0,1604195967.0
144,10.52,119.93,osmena,83.62,75.0,10.67,100.0,1604196247.0
145,10.4,-75.51,cartagena,81.19,82.0,6.93,97.0,1604195846.0
146,63.45,120.32,verkhnevilyuysk,0.54,91.0,3.85,67.0,1604195743.0
147,51.18,-114.47,cochrane,46.4,27.0,14.99,40.0,1604196027.0
148,69.49,88.4,talnakh,21.2,85.0,26.84,75.0,1604195783.0
149,44.02,-107.96,worland,39.99,60.0,9.17,1.0,1604196011.0
150,34.69,135.8,nara,66.2,52.0,5.82,75.0,1604195863.0
151,48.83,-72.53,normandin,30.2,73.0,8.05,90.0,1604196248.0
152,-2.02,147.27,lorengau,85.84,71.0,9.08,17.0,1604195583.0
153,-24.87,113.63,carnarvon,75.2,64.0,17.22,40.0,1604195578.0
154,63.75,-68.51,iqaluit,5.0,77.0,4.7,20.0,1604195796.0
155,,,grand river south east,,,,,
157,36.25,-121.25,monterey,66.2,52.0,6.93,1.0,1604196249.0
159,53.19,158.38,yelizovo,44.6,56.0,11.18,40.0,1604196145.0
162,-33.92,25.57,port elizabeth,64.4,82.0,8.05,75.0,1604195736.0
163,19.73,-155.09,hilo,84.2,62.0,9.17,90.0,1604195483.0
164,-8.93,125.41,airai,78.1,35.0,3.27,0.0,1604195555.0
166,-7.16,113.47,pamekasan,81.77,69.0,1.07,68.0,1604196250.0
167,-21.21,-159.78,avarua,75.2,83.0,8.05,100.0,1604195735.0
168,59.58,151.28,ola,33.57,91.0,7.09,100.0,1604195660.0
169,-1.87,11.06,mouila,72.63,96.0,1.39,100.0,1604196251.0
171,27.98,-114.06,guerrero negro,69.46,57.0,8.9,62.0,1604195768.0
172,,,alotau,,,,,
173,19.93,-105.25,tomatlan,75.87,89.0,1.36,9.0,1604196251.0
174,,,samusu,,,,,
177,4.14,96.13,meulaboh,81.72,72.0,2.8,100.0,1604196251.0
178,37.1,-113.58,saint george,69.8,15.0,3.36,1.0,1604195480.0
179,40.16,-8.33,lata,64.0,90.0,1.1,100.0,1604195564.0
180,-46.28,169.85,kaitangata,61.0,55.0,11.99,94.0,1604195748.0
181,44.08,-103.23,rapid city,42.8,45.0,17.22,1.0,1604196000.0
183,57.31,32.08,marevo,38.64,89.0,4.16,23.0,1604196257.0
187,51.41,86.0,chemal,29.16,88.0,4.38,54.0,1604196257.0
189,10.78,-74.72,sitionuevo,79.0,84.0,2.59,99.0,1604196257.0
190,41.37,-73.41,bethel,35.01,92.0,1.63,1.0,1604195743.0
192,55.74,-97.86,thompson,12.2,85.0,6.93,20.0,1604195776.0
195,-22.65,-47.2,cosmopolis,62.6,77.0,20.8,40.0,1604196258.0
196,59.6,60.58,serov,32.76,96.0,7.25,100.0,1604196258.0
